"Date","Time","Individual","DOB","Age","Sex","Sniff","Comment","ID2","Data","Location","Alone","Patrol","Drum.Hoot.","Review","Has.Location."
2021-06-28,"5:31:08 PM","Damien",2006-07-01,14.99,"Male","1","0.492543, 30.397262 climbed down tree ; Rollins was ahead… is he in sight?","","Focal","0.492543, 30.397262",NA,NA,NA,1,1
2021-06-28,"6:14:26 PM","Holland",2010-07-20,10.94,"Male","1","In party with Buckner and Damien ; Holland eating Pterygota from ground","","AdLib","0.492866,30.398593",0,NA,NA,1,1
2021-07-03,"4:37:51 PM","Porkpie",1994-01-01,27.5,"Male","1","Root / log; traveling alone 0.489584, 30.427752","","Focal","0.489584, 30.427752",1,NA,NA,NA,1
2021-07-03,"4:39:00 PM","Porkpie",1994-01-01,27.5,"Male","1","0.489492, 30.427588","","Focal","0.489492, 30.427588",1,NA,NA,NA,1
2021-07-05,"11:47:25 AM","Bach",2008-12-01,12.59,"Male","1","Fresh chino dung and urine","","AdLib","0.484076,30.414429",NA,NA,NA,1,1
2021-07-08,"4:26:09 PM","Bach",2008-12-01,12.6,"Male","1","Chimp feces 0.477296, 30.411904","","Focal","0.477296, 30.411904",NA,NA,NA,1,1
2021-07-16,"5:11:03 PM","Larson",2007-11-01,13.71,"Male","1","0.492716, 30.391651","","Focal","0.492716, 30.391651",NA,NA,NA,NA,1
2021-07-17,"5:15:23 PM","Wes",1997-06-01,24.13,"Male","1","0.485238, 30.411718","","Focal","0.485238, 30.411718",NA,NA,NA,NA,1
2021-07-18,"10:45:11 AM","Wes",1997-06-01,24.13,"Male","1","0.485964, 30.402979 in scattered party no one in view","","Focal","0.485964, 30.402979",NA,NA,NA,1,1
2021-07-20,"11:48:11 AM","Carter",1990-01-01,31.55,"Male","1","Ground where Porkpie died","","AdLib","0.487945,30.429122",0,NA,NA,1,1
2021-07-27,"3:20:31 PM","Bosko",2003-01-01,18.57,"Male","1","Leaves from whence amelia2 was standing in tree","","Focal","",NA,NA,NA,NA,0
2021-08-07,"9:27:00 AM","Dylan",2006-07-26,15.03,"Male","1","0.487495 N, 30.432131 E","","Focal","0.487495, 30.432131",NA,NA,NA,NA,1
2021-08-09,"1:22:42 PM","Cannonball",2007-07-30,14.03,"Male","1","Moved north with Garett Aretha Powell and lucrezia (?)","","AdLib","0.504705,30.428865",0,NA,NA,NA,1
2021-08-12,"1:13:39 PM","Larson",2007-11-01,13.78,"Male","1","0.480189, 30.409530 in party but not western party he was with still east","","Focal","0.480189, 30.409530",0,NA,NA,NA,1
2021-08-13,"4:33:03 PM","Joya",2011-08-15,10,"Female","1","In party of Yoyo Wayne Hutcherson Murray senta billy Bragg Anna Sanger Freddie and youths mvoing west after patrol to h/6-g.5/5","","AdLib","0.493115,30.414982",0,NA,NA,1,1
2021-08-16,"10:44:34 AM","Carter",1990-01-01,31.62,"Male","1","Central patrol","","AdLib","0.489016,30.422093",NA,1,NA,NA,1
2021-08-16,"10:45:56 AM","Brownface",1966-01-01,55.62,"Male","1","","Miles","AdLib","0.488932,30.421825",0,NA,NA,1,1
2021-08-16,"11:01:24 AM","Morton",1984-01-01,37.62,"Male","1","","","AdLib","0.489546,30.419677",NA,NA,NA,NA,1
2021-08-16,"12:05:22 PM","Brownface",1966-01-01,55.62,"Male","1","Patrol west","","AdLib","0.487574,30.417014",0,1,NA,NA,1
2021-08-18,"10:52:40 AM","Damien",2006-07-01,15.13,"Male","1","Branch","","AdLib","0.485612,30.388864",NA,NA,NA,1,1
2021-08-19,"4:43:35 PM","YoYo",2006-01-01,15.63,"Male","1","","","AdLib","0.495416,30.418483",NA,NA,NA,NA,1
