,Date,Time,Individual,DOB,Sex,Behavior,Comment,ID2,Data,Location,Alone,Patrol,Drum.Hoot.,Review,Delete,Has.Location.,,Latitude,Longitude
164,6/14/19,2:27:13 PM,EttaJames,3/9/11,Female,Sniff,Branches ; central had been last night,,AdLib,"00.49284,30.40711",NA,NA,NA,1,NA,1,,0.49284,30.40711
165,7/25/19,3:10:52 PM,Holland,7/20/10,Male,Sniff,Ground party with Wayne and Buckner,,AdLib,"0.494143,30.398868",0,NA,NA,NA,NA,1,,0.494143,30.398868
166,7/28/19,10:53:12,Cannonball,7/30/07,Male,Sniff,"Ground 0.491175,30.423073 Jackson walking ahead",,Focal,"0.491175,30.423073",0,NA,NA,NA,NA,1,,0.491175,30.423073
167,9/18/19,5:27:25 PM,YoYo,1/1/06,Male,Sniff,Ground ; with party of western males moving south from L/4.5,,AdLib,"0.495013,30.412825",NA,NA,NA,NA,NA,1,,0.495013,30.412825
168,9/20/19,16:57:11,YoYo,1/1/06,Male,Sniff,"0.489188,30.411808 sniff ground; Buckner an Holland nearby other party had gone head",,Focal,"0.489188,30.411808",0,NA,NA,NA,NA,1,,0.489188,30.411808
169,9/22/19,2:10:15 PM,YoYo,1/1/06,Male,Sniff,Ground on within patrol I/13,,AdLib,"0.479069,30.418462",NA,1,NA,NA,NA,1,,0.479069,30.418462
170,9/26/19,5:03:21 PM,Cash,1/1/93,Male,Sniff,Ground walking with party,,AdLib,"0.474032,30.438188",0,NA,NA,NA,NA,1,,0.474032,30.438188
171,10/15/19,12:24:34,Dylan,7/26/06,Male,Sniff,"Ground alone with only fisher behind 0.495101,30.424955",,Focal,"0.495101,30.424955",NA,NA,NA,NA,NA,1,,0.495101,30.424955
172,10/24/19,10:57:27,Evans,1/1/96,Male,Sniff,"Ground looks like something had rooted around 0.491292,30.428202",,Focal,"0.491292,30.428202",NA,NA,NA,NA,NA,1,,0.491292,30.428202
173,10/26/19,16:27:26,Cannonball,7/30/07,Male,Sniff,"Ground 0.488014,30.423045. Alone",,Focal,"0.488014,30.423045",1,NA,NA,NA,NA,1,,0.488014,30.423045
174,10/26/19,16:31:50,Cannonball,7/30/07,Male,Sniff,"Alone : ground 0.487480,30.423170",,Focal,"0.487480,30.423170",1,NA,NA,NA,NA,1,,0.48748,30.42317
175,11/1/19,12:06:33,Ava,6/10/09,Female,Sniff,Dead infant Huxley,,Focal,,NA,NA,NA,1,NA,0,,,
176,6/19/21,10:56:42 AM,Dylan,7/26/06,Male,Sniff,"Branch 0.483023 N, 30.434435 E",,Focal,"0.483023 N, 30.434435 E",NA,NA,NA,NA,NA,1,,0.483023,"N, 30.434"
177,6/23/21,5:32:22 PM,Carter,1/1/90,Male,Sniff,Leaves; after rushing over toward chimp calls; eagle flew away (Sam and Izzi) ; Jarman and Eubanks and cannonball looking up into tree; others sniffing ground,,AdLib,"0.483575,30.415448",0,NA,1,1,NA,1,,0.483575,30.415448
178,6/27/21,10:50:09 AM,Nadine,10/17/13,Unknown,Sniff.Ground,Juveniles female as traveling to me east ;,,AdLib,"0.484979,30.428082",NA,NA,NA,1,NA,1,,0.484979,30.428082
179,6/28/21,5:31:08 PM,Damien,7/1/06,Male,Sniff.Ground,"0.492543, 30.397262 climbed down tree ; Rollins was ahead… is he in sight?",,Focal,"0.492543, 30.397262",NA,NA,NA,1,NA,1,,0.492543,30.39726
180,6/28/21,6:14:26 PM,Holland,7/20/10,Male,Sniff.Ground,In party with Buckner and Damien ; Holland eating Pterygota from ground,,AdLib,"0.492866,30.398593",0,NA,NA,1,NA,1,,0.492866,30.398593
181,7/3/21,4:37:51 PM,Porkpie,1/1/94,Male,Sniff,"Root / log; traveling alone 0.489584, 30.427752",,Focal,"0.489584, 30.427752",1,NA,NA,NA,NA,1,,0.489584,30.42775
182,7/3/21,4:39:00 PM,Porkpie,1/1/94,Male,Sniff.Ground,"0.489492, 30.427588",,Focal,"0.489492, 30.427588",1,NA,NA,NA,NA,1,,0.489492,30.42758
183,7/5/21,11:47:25 AM,Bach,12/1/08,Male,Sniff.Ground,Fresh chino dung and urine,,AdLib,"0.484076,30.414429",NA,NA,NA,1,NA,1,,0.484076,30.414429
184,7/8/21,4:26:09 PM,Bach,12/1/08,Male,Sniff.Ground,"Chimp feces 0.477296, 30.411904",,Focal,"0.477296, 30.411904",NA,NA,NA,1,NA,1,,0.477296,30.4119
185,7/16/21,5:11:03 PM,Larson,11/1/07,Male,Sniff.Ground,"0.492716, 30.391651",,Focal,"0.492716, 30.391651",NA,NA,NA,NA,NA,1,,0.492716,30.39165
186,7/17/21,5:15:23 PM,Wes,6/1/97,Male,Sniff.Ground,"0.485238, 30.411718",,Focal,"0.485238, 30.411718",NA,NA,NA,NA,NA,1,,0.485238,30.41171
187,7/18/21,10:45:11 AM,Wes,6/1/97,Male,Sniff.Ground,"0.485964, 30.402979 in scattered party no one in view",,Focal,"0.485964, 30.402979",NA,NA,NA,1,NA,1,,0.485964,30.40297
188,7/20/21,11:48:11 AM,Carter,1/1/90,Male,Sniff,Ground where Porkpie died,,AdLib,"0.487945,30.429122",0,NA,NA,1,NA,1,,0.487945,30.429122
191,7/27/21,3:20:31 PM,Bosko,1/1/03,Male,Sniff,Leaves from whence amelia2 was standing in tree,,Focal,,NA,NA,NA,NA,NA,0,,,
192,8/7/21,9:27:00 AM,Dylan,7/26/06,Male,Sniff.Ground,"0.487495 N, 30.432131 E",,Focal,"0.487495, 30.432131",NA,NA,NA,NA,NA,1,,0.487495,30.43213
193,8/9/21,1:22:42 PM,Cannonball,7/30/07,Male,Sniff.Ground,Moved north with Garett Aretha Powell and lucrezia (?),,AdLib,"0.504705,30.428865",0,NA,NA,NA,NA,1,,0.504705,30.428865
194,8/12/21,1:13:39 PM,Larson,11/1/07,Male,Sniff.Ground,"0.480189, 30.409530 in party but not western party he was with still east",,Focal,"0.480189, 30.409530",0,NA,NA,NA,NA,1,,0.480189,30.40953
195,8/13/21,4:33:03 PM,Joya,8/15/11,Female,Sniff,In party of Yoyo Wayne Hutcherson Murray senta billy Bragg Anna Sanger Freddie and youths mvoing west after patrol to h/6-g.5/5,,AdLib,"0.493115,30.414982",0,NA,NA,1,NA,1,,0.493115,30.414982
196,8/16/21,10:44:34 AM,Carter,1/1/90,Male,Sniff.Ground,Central patrol,,AdLib,"0.489016,30.422093",NA,1,NA,NA,NA,1,,0.489016,30.422093
197,8/16/21,10:45:56 AM,Brownface,1/1/66,Male,Sniff.Ground,,"Miles,",AdLib,"0.488932,30.421825",0,NA,NA,1,NA,1,,0.488932,30.421825
198,8/16/21,11:01:24 AM,Morton,1/1/84,Male,Sniff.Ground,,,AdLib,"0.489546,30.419677",NA,NA,NA,NA,NA,1,,0.489546,30.419677
199,8/16/21,12:05:22 PM,Brownface,1/1/66,Male,Sniff.Ground,Patrol west,,AdLib,"0.487574,30.417014",0,1,NA,NA,NA,1,,0.487574,30.417014
200,8/18/21,10:52:40 AM,Damien,7/1/06,Male,Sniff,Branch,,AdLib,"0.485612,30.388864",NA,NA,NA,1,NA,1,,0.485612,30.388864
201,8/19/21,4:43:35 PM,YoYo,1/1/06,Male,Sniff.Ground,,,AdLib,"0.495416,30.418483",NA,NA,NA,NA,NA,1,,0.495416,30.418483
